NCT#	phase	condition	sponsor	start_date	mesh_list	criterion	Ground_Truth
NCT02227394	Phase 2	Asthma;Asthma Chronic;Asthma Bronchial;Asthmatic	Zambon SpA	10-Feb-15	Asthma	"Patient unlikely to comply with the protocol or unable to understand the nature, scope and possible consequences of the study"	31
NCT01650441	Phase 2	Asthma	"University Hospital, Antwerp"	10-Feb-15	Asthma	"Patients unlikely to comply with the protocol or unable to understand the nature, scope and possible consequences of the study"	31
NCT02162784	Phase 2	Asthma	Intech Biopharm Ltd.	10-Feb-15	Asthma	"Patients unlikely to comply with the protocol or unable to understand the nature, scope and possible consequences of the study;"	31
NCT00452400	Phase 2	"Pulmonary Disease, Chronic Obstructive;Asthma"	Boehringer Ingelheim	10-Feb-15	"Pulmonary Disease, Chronic Obstructive"	Patients who are unable to comply with medication restrictions. 	31
NCT00467740	Phase 2	Asthma	Boehringer Ingelheim	10-Feb-15	Asthma	Patients who are unable to comply with pulmonary medication restrictions prior to randomization 	31
NCT01007721	Phase 2	"Rhinitis, Allergic, Seasonal;Asthma"	Boehringer Ingelheim	10-Feb-15	"Rhinitis;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal"	put the patient at risk because of participation in the study	31
NCT00465413	Phase 2	Asthma	Mackay Memorial Hospital	10-Feb-15		"refusal to participate,"	31
NCT01656811	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject had a schedule that prevented him or her from taking the first daily dose of study medication and/or starting study visits before 9 AM.	31
NCT01087710	Phase 2	Asthma	Abbott Nutrition	10-Feb-15	Asthma	Subject unable to tolerate or unwilling to take the full dose of the nutritional study formulas	31
NCT00685347	Phase 2	Asthma;Bronchoconstriction	Sunovion	10-Feb-15	Asthma	Subject whose schedule prevents him or her from starting study visits before 2:30-4:00 PM.	31
NCT00684827	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject whose schedule prevents him or her from starting study visits before 9 AM.	31
NCT00685022	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject whose schedule prevents him or her from starting study visits before 9 AM.	31
NCT00684866	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject whose schedule prevents him or her from taking the first daily dose of study medication and/or starting study visits before 9 AM.	31
NCT03707678	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Subjects at risk of non-compliance, or unable to comply with the study procedures."	31
NCT02148120	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15		Subjects unlikely to comply with the study protocol;	31
NCT00686335	Phase 2	Asthma	"Horizon Pharma Ireland, Ltd., Dublin Ireland"	10-Feb-15	Asthma	Suspected inability or unwillingness to comply with the study procedures	31
NCT00365469	Phase 2	Eczema;Asthma;Allergic Rhinitis	"National University Hospital, Singapore"	10-Feb-15	"Rhinitis;Rhinitis, Allergic;Eczema"	The parent is unable /unwilling to comply with procedures. 	31
NCT00318695	Phase 2	Eczema;Asthma;Allergic Rhinitis	"National University Hospital, Singapore"	10-Feb-15	"Rhinitis;Rhinitis, Allergic;Eczema"	The parent is unable/unwilling to comply with procedures.	31
NCT00407524	Phase 2	Asthma	University of Aberdeen	10-Feb-15	Asthma	"The patient is not able to follow study procedures (e.g., language problems, psychological disorders) or is considered to be non-compliant according to the investigator"	31
NCT01245426	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"The subject is not able to understand or comply with protocol requirements, instructions and protocol stated restrictions."	31
NCT00748306	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	There is a risk of non-compliance with study procedures	31
NCT00812773	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	There is a risk of non-compliance with study procedures.	31
NCT00850642	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	There is a risk of non-compliance with study procedures.	31
NCT01471665	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	There is a risk of non-compliance with study procedures. 	31
NCT00812929	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	There is a risk of subject non-compliance with study procedures.	31
NCT01147744	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Unable or unwilling to follow instructions: Procedures, dosing directions, e-diaries or pMDIs"	31
NCT02377427	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Unwillingness or inability of the participant or parent/guardian to follow the procedures outlined in the protocol.	31
NCT01453023	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Unwillingness or inability of the subject or parent/guardian to follow the procedures outlined in the protocol.	31
NCT01196039	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma;Airway Obstruction	Unwillingness or inability to comply with the study protocol for any other reason 	31
NCT01400906	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	unwillingness or inability to follow the procedures outlined in the protocol	31
NCT00857857	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Unwillingness or inability to follow the procedures outlined in the protocol.	31
NCT00945932	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Unwillingness or inability to follow the procedures outlined in the protocol.	31
NCT01245426	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Unwillingness or inability to follow the procedures outlined in the protocol.	31
NCT01808339	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Unwillingness or inability to follow the procedures outlined in the protocol.	31
NCT01160224	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Unwillingness or inability to follow the procedures outlined in the protocol. 	31
NCT01287065	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Respiratory Aspiration	Unwillingness or inability to follow the procedures outlined in the protocol. 	31
NCT01174732	Phase 2	Asthma;Bronchospasm	"Amphastar Pharmaceuticals, Inc."	10-Feb-15	Asthma;Bronchial Spasm	Use of prohibited drugs or failure to observe the drug washout restrictions;	31
NCT01189396	Phase 2	Asthma;Bronchospasm;Chronic Obstructive Pulmonary Disease (COPD)	"Amphastar Pharmaceuticals, Inc."	10-Feb-15	"Asthma;Lung Diseases, Obstructive;Pulmonary Disease, Chronic Obstructive;Bronchial Spasm"	Use of prohibited drugs or failure to observe the drug washout restrictions;	31
NCT02210806	Phase 2	Asthma	"Amphastar Pharmaceuticals, Inc."	10-Feb-15	Asthma	Use of prohibited drugs or failure to observe the drug washout restrictions	31
NCT02271334	Phase 2	Asthma	"Amphastar Pharmaceuticals, Inc."	10-Feb-15	Asthma	Use of prohibited drugs or failure to observe the drug washout restrictions; and	31
NCT03207243	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A pre-bronchodilator FEV1 less than 50 percent predicted of normal value at Screening (Visit 1).	32
NCT03207243	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A pre-bronchodilator FEV1 less than 50 percent predicted of normal value at Visit	32
NCT03707678	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A pre-bronchodilator forced expiratory volume in 1 second (FEV1) < 50 percent predicted of normal value.	32
NCT02210806	Phase 2	Asthma	"Amphastar Pharmaceuticals, Inc."	10-Feb-15	Asthma	Baseline ECG at Screening or Visit 1 with a confirmed (through performing a second ECG) QTc reading greater than 450ms	32
NCT01948401	Phase 2	Asthma	Hoffmann-La Roche	10-Feb-15	Asthma	Baseline FEV1 </=39% of predicted	32
NCT00292877	Phase 2	Asthma	St. Joseph's Healthcare Hamilton	10-Feb-15	Asthma	Baseline FEV1 before bronchodilator of 40% or less of predicted. This lower FEV1 is acceptable since chronic airflow limitation secondary to the eosinophilic bronchitis or asthma is not an exclusion criteria. Neither is current or ex-cigarette smoking providing that the best FEV1 in these patients has been >60% predicted normal or the best FEV1/VC ratio has been >60% in the past two years	32
NCT00280683	Phase 2	Asthma	"University of California, Davis"	10-Feb-15	Asthma	Baseline Forced Expiratory Volume in 1 second (FEV1) <40% predicted	32
NCT01833390	Phase 2	Asthma;COPD;Healthy	Xemed LLC	10-Feb-15	Asthma	Blood oxygen saturation of 92% less than as measured by pulse oximetry on the day of imaging.	32
NCT00635882	Phase 2	Asthma;Airway Inflammation	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma;Inflammation	Decrease in absolute FEV1 >20% between Screening and Baseline Visits.	32
NCT01258803	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	Demonstrates a decrease in absolute FEV1 of >20% at any time from the Screening Visit up to and including the Baseline Visit	32
NCT02271334	Phase 2	Asthma	"Amphastar Pharmaceuticals, Inc."	10-Feb-15	Asthma	ECG at Screening and Visit-1 baseline with a QTc reading greater than 450ms;	32
NCT01471665	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	FEV1 < 1 litre post salbutamol.	32
NCT00857779	Phase 2	Rhinitis;Conjunctivitis;Asthma	ALK-Abelló A/S	10-Feb-15	Rhinitis;Conjunctivitis	FEV1 < 70% of predicted value at screening	32
NCT00483041	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	FEV1 < 70% of predicted values;	32
NCT00507130	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	FEV1 < 80% of predicted values;	32
NCT02740543	Phase 2	Asthma	NYU Langone Health	10-Feb-15	Asthma	FEV1 <60% predicted normal pre-bronchodilator	32
NCT00614874	Phase 2	Asthma	Creighton University	10-Feb-15	Asthma	FEV1 <60% predicted value	32
NCT02061670	Phase 2	Seasonal Allergic Rhinitis;Asthma	Circassia Limited	10-Feb-15	"Rhinitis;Asthma;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal"	"FEV1 of < 70 % of predicted, regardless of the cause."	32
NCT02161107	Phase 2	Seasonal Allergic Rhinitis;Asthma	Circassia Limited	10-Feb-15	"Rhinitis;Asthma;Rhinitis, Allergic;Rhinitis, Allergic, Seasonal"	"FEV1 of <70 % of predicted, regardless of the cause."	32
NCT01833390	Phase 2	Asthma;COPD;Healthy	Xemed LLC	10-Feb-15	Asthma	FEV1 percent predicted less than 25%.	32
NCT00812929	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Following exercise challenge during the screening visit, the subject experiences a greater than 40% fall in FEV1 compared to baseline."	32
NCT01841281	Phase 2	Asthma;Inflammation	Nicholas Kenyon	10-Feb-15	Asthma;Inflammation	Forced expiratory volume 1sec <30% predicted	32
NCT00590720	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	Forced expiratory volume in 1 second (FEV1-subscript) < 70% of predicted values at screening;	32
NCT04643158	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma;Respiratory Aspiration	Pre-bronchodilator FEV1 decrease or increase ≥ 20%.	32
NCT00746330	Phase 2	Asthma	Novartis	10-Feb-15	Asthma	"Pre-dose change (increase or decrease) in absolute FEV1 of 15% at Visit 2, compared with value at screening."	32
NCT01087710	Phase 2	Asthma	Abbott Nutrition	10-Feb-15	Asthma	Subject with FEV1 < 80% predicted at visit 1 or FEV1 < 70% predicted at visit	32
NCT02377427	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"A participant will not be eligible for this study if he/she is an immediate family member of the participating investigator, sub-investigator, study coordinator, or employee of the participating investigator."	33
NCT01286844	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"A subject will not be eligible for this study if he/she is an immediate family member of the participating Investigator, sub-Investigator, study coordinator, or employee of the participating Investigator."	33
NCT01332292	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"A subject will not be eligible for this study if he/she is an immediate family member of the participating Investigator, sub-Investigator, study coordinator, or employee of the participating Investigator."	33
NCT01453296	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"A subject will not be eligible for this study if he/she is an immediate family member of the participating Investigator, sub-Investigator, study coordinator, or employee of the participating Investigator."	33
NCT03207243	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"A subject will not be eligible for this study if he/she is an immediate family member of the participating investigator, sub investigator, study coordinator, or employee of the participating investigator."	33
NCT01453023	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"A subject will not be eligible for this study if he/she is an immediate family member of the participating investigator, sub-investigator, study coordinator, or employee of the participating investigator. "	33
NCT01641692	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Affiliation with investigator or site staff 	33
NCT00603382	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Affiliation with Investigator's Site: A subject will not be eligible for this study if he/she is an immediate family member of the participating Investigator, sub-Investigator, study coordinator, or employee of the participating Investigator."	33
NCT01147744	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Affiliation with Investigator's Site: Relative or employee 	33
NCT01573624	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Any affiliation with Investigator's site 	33
NCT00768079	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	Any employee of the clinical study site who is involved with the conduct of the study	33
NCT00590720	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	Any employee of the research site who is involved with the conduct of the study. 	33
NCT01332292	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Children who are wards of the state or government.	33
NCT02377427	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Children who are wards of the state or government.	33
NCT01502371	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	Direct association with either the administration of the this study or the study staff. 	33
NCT01615874	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	direct association with or family member of one of the investigators or study staff	33
NCT01743768	Phase 2	Asthma	Sterna Biologicals GmbH & Co. KG	10-Feb-15	Asthma	"Employee at the investigational site, relative or spouse of the investigator. "	33
NCT01402986	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Employee of the clinical study site or any other individuals directly involved with the conduct of the study, or immediate family members of such individuals"	33
NCT00507130	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Employees of the clinical study site or any other individuals involved with the conduct of the study, or family members of such individuals. "	33
NCT00873860	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Employees of the clinical study site or any other individuals involved with the conduct of the study, or family members of such individuals. "	33
NCT00783289	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Employees of the clinical study site or any other individuals involved with the conduct of the study, or first degree family members of such individuals (that is, parents, siblings, or children) "	33
NCT00968669	Phase 2	Asthma	MedImmune LLC	10-Feb-15	Asthma	"Employees of the clinical study site or any other individuals involved with the conduct of the study, or immediate family members of such individuals"	33
NCT00394914	Phase 2	Asthma;Common Cold;Picornavirus Infection;Rhinovirus	Merck Sharp & Dohme Corp.	10-Feb-15	Common Cold;Picornaviridae Infections;Asthma	Family member of the investigational study staff. 	33
NCT00812929	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Has an affiliation with the Investigative Site. Participation of site personnel, or their spouses or children, is not allowed. "	33
NCT02491684	Phase 2	Asthma	AstraZeneca	10-Feb-15	Infections;Respiratory Tract Infections;Asthma	Involvement in the planning and/or conduct of the study (applies to both AstraZeneca staff and staff at third party vendors or staff at the study sites)	33
NCT00688467	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	Is a family member of the investigational study staff.	33
NCT02794519	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Is an employee of the investigator or study site, with direct involvement in the proposed study or other studies under the direction of that investigator or study site, as well as family members of the employees or the investigator."	33
NCT01765192	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	"Is an immediate family member, study site employee, or is in a dependent relationship with a study site employee who is involved in conduct of this study (eg, spouse, parent, child, sibling) or may consent under duress"	33
NCT00688467	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	Is part of the staff personnel directly involved with this study	33
NCT00394914	Phase 2	Asthma;Common Cold;Picornavirus Infection;Rhinovirus	Merck Sharp & Dohme Corp.	10-Feb-15	Common Cold;Picornaviridae Infections;Asthma	Part of the staff personnel directly involved with this study.	33
NCT04589663	Phase 2	Asthma	Novartis Pharmaceuticals	10-Feb-15	Asthma	"Patient is an immediate family member of the participating investigator, sub-investigator, study coordinator, or employee of the participating investigator"	33
NCT01256086	Phase 2	Asthma	MEDA Pharma GmbH & Co. KG	10-Feb-15	Asthma	Personnel involved in the planning or conduct of the study	33
NCT01615874	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	sibling of a participant in this study 	33
NCT00162773	Phase 2	Asthma	Johns Hopkins University	10-Feb-15	Asthma	Site staff members or their immediate families are not eligible to enroll 	33
NCT03012061	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Study investigators, sub-investigators, study coordinators, employees of a participating investigator or study site, or immediate family members of the aforementioned that is involved with this study."	33
NCT01479621	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	Study participation by clinical investigator site employees and/or their immediate relatives	33
NCT01576718	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	Study participation by clinical investigator site employees and/or their immediate relatives	33
NCT03745196	Phase 2	Asthma;Respiratory Candidiasis;Respiratory Aspergillosis;COPD;Bronchiectasis	Pulmocide Ltd	10-Feb-15	Candidiasis;Aspergillosis;Asthma;Bronchiectasis;Respiration Disorders;Respiratory Tract Diseases	"Subject is an employee or a first-degree relative of anyone employed by Pulmocide, a participating clinical trial site, or any contract research organisation involved in the study"	33
NCT00686335	Phase 2	Asthma	"Horizon Pharma Ireland, Ltd., Dublin Ireland"	10-Feb-15	Asthma	"Subject is the investigator or any subinvestigator, research assistant, pharmacist, study coordinator, other staff or relative thereof directly involved in the conduct of the protocol"	33
NCT01656811	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject was a staff member or a relative of a staff member at the time of the study. 	33
NCT00684827	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject who is a staff member or relative of a staff member. 	33
NCT00684866	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject who is a staff member or relative of a staff member. 	33
NCT00685022	Phase 2	Asthma	Sunovion	10-Feb-15	Asthma	Subject who is a staff member or relative of a staff member. 	33
NCT00685347	Phase 2	Asthma;Bronchoconstriction	Sunovion	10-Feb-15	Asthma	Subject who is a staff member or relative of a staff member. 	33
NCT00603278	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A subject will not be eligible for randomization if he/she has an abnormal visual oropharyngeal exam at the randomization Visit 3 (visual clinical evidence of oral candidiasis)	34
NCT00603746	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A subject will not be eligible for randomization if he/she has an abnormal visual oropharyngeal exam at the randomization Visit 3 (visual clinical evidence of oral candidiasis)	34
NCT00603382	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A subject will not be eligible for randomization if he/she has an abnormal visual oropharyngeal exam at the randomization Visit 3 (visual clinical evidence of oral candidiasis).	34
NCT01287065	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Respiratory Aspiration	A subject will not be eligible if he/she has clinical visual evidence of oral candidiasis at screening.	34
NCT01808339	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	A subject will not be eligible if he/she has clinical visual evidence of oral candidiasis at screening.	34
NCT01808339	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Clinical visual evidence of oral candidiasis at Day	34
NCT01332292	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Clinical visual evidence of oral candidiasis at screening.	34
NCT01453023	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Clinical visual evidence of oral candidiasis at screening.	34
NCT01453296	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Clinical visual evidence of oral candidiasis at screening.	34
NCT01479621	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	Clinical visual evidence of oral candidiasis at the Screening Visit	34
NCT01615874	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	evidence of oropharyngeal candidiasis	34
NCT00603382	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Oropharyngeal Examination: A subject will not be eligible for the run-in if he/she has clinical visual evidence of oral candidiasis at Visit	34
NCT02712047	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Oropharyngeal examination: A subject will not be eligible if he/she has clinical visual evidence of oral candidiasis at screening.	34
NCT03086460	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	Subjects with oral candidiasis at screening and at randomization.	34
NCT03084718	Phase 2	Asthma	Chiesi Farmaceutici S.p.A.	10-Feb-15	Asthma	Subjects with oral candidiasis at screening or at randomization.	34
NCT01576718	Phase 2	Asthma	"Teva Branded Pharmaceutical Products R&D, Inc."	10-Feb-15	Asthma	Untreated oral candidiasis at the Screening Visit. Subjects with clinical visual evidence of oral candidiasis and who agree to receive treatment and comply with appropriate medical monitoring may enter the study	34
NCT01573624	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Visual clinical evidence of oropharyngeal candidiasis	34
NCT00407524	Phase 2	Asthma	University of Aberdeen	10-Feb-15	Asthma	"The patient has difficulty swallowing capsules or tablets, dysphagia or is unable to tolerate oral medication. "	35
NCT01006655	Phase 2	Asthma;Bronchial Hyperresponsiveness	Rambam Health Care Campus	10-Feb-15	Bronchial Hyperreactivity	impossibility to perform lung function tests	36
NCT01304628	Phase 2	Asthma	Palatin Technologies	10-Feb-15	Asthma	"Inability to perform acceptable, quality serial spirometry "	36
NCT02687815	Phase 2	Asthma	"Juan Celedon, MD"	10-Feb-15	Asthma	Inability to perform acceptable spirometry	36
NCT00614874	Phase 2	Asthma	Creighton University	10-Feb-15	Asthma	Inability to perform consistent spirometry or nitric oxide exhalation	36
NCT00901095	Phase 2	Asthma;Obesity	Palo Alto Medical Foundation	10-Feb-15	Asthma;Weight Loss	Inability to perform pulmonary function tests by spirometry in a consistent manner;	36
NCT02740868	Phase 2	Cystic Fibrosis;Asthma	The Hospital for Sick Children	10-Feb-15	Cystic Fibrosis;Fibrosis	Participant is unable to perform spirometry or plethysmography maneuvers	36
NCT01425801	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	Patients unable to properly use a dry powder or pMDI inhaler device or unable to perform acceptable spirometry	36
NCT02491684	Phase 2	Asthma	AstraZeneca	10-Feb-15	Infections;Respiratory Tract Infections;Asthma	Patients who are unable to demonstrate an acceptable spirometry technique	36
NCT02720081	Phase 2	Asthma	Merck Sharp & Dohme Corp.	10-Feb-15	Asthma	"Unable to perform acceptable, repeatable spirometry"	36
NCT04129931	Phase 2	Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Asthma	A chest radiograph (CXR) done within the last six months of the test that shows no evidence of active TB	37
NCT01653756	Phase 2	Asthma	SecuraBio	10-Feb-15	Asthma	A positive screen result for active or latent tuberculosis	37
NCT01704495	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	Active tuberculosis or latent tuberculosis without completion of an appropriate course of treatment or prophylactic treatment	37
NCT02099656	Phase 2	Asthma	Hoffmann-La Roche	10-Feb-15	Asthma;Inflammation	Active tuberculosis requiring treatment within 12 months prior to Visit 1	37
NCT01545440	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma	Active tuberculosis requiring treatment within the 12 months prior to Visit 1	37
NCT01545453	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma	Active tuberculosis requiring treatment within the 12 months prior to Visit 1	37
NCT01581177	Phase 2	Asthma	"Amphastar Pharmaceuticals, Inc."	10-Feb-15	Asthma	"Any current or recent respiratory tract infections that might affect the response to the study drug as determined by the investigator, including cystic fibrosis, bronchiectasis, tuberculosis, emphysema and other significant respiratory diseases besides asthma"	37
NCT02794519	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	"Chest X-Ray (CXR) within 6 months of screening showing evidence of active or inactive tuberculosis (TB), or other clinically significant disease other than asthma. If a CXR is not available, it must be performed at screening."	37
NCT04129931	Phase 2	Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Asthma	"Documentation of adequate treatment for latent TB In cases of an indeterminate QuantiFERON-TB test result, a second blood specimen must be drawn. A chest x-ray is not required if the participant has a negative QuantiFERON-TB Gold test. Comorbid Conditions: Comorbidities are commonly present in severe asthma. Specific questionnaires will be used to identify common comorbidities as follows:"	37
NCT04129931	Phase 2	Asthma	"University of North Carolina, Chapel Hill"	10-Feb-15	Asthma	EKG with significant clinical findings A positive QuantiFERON-TB (tuberculosis) Gold test requires further screening. A participant may be included in PrecISE if at least one of the following criteria are met:	37
NCT01987492	Phase 2	Asthma	Hoffmann-La Roche	10-Feb-15	Asthma	For adolescents: History of active tuberculosis requiring treatment	37
NCT01948401	Phase 2	Asthma	Hoffmann-La Roche	10-Feb-15	Asthma	"For adults active tuberculosis (TB) requiring treatment within the 12 months before the time of informed consent (patients are also required to have no recurrence of symptoms in the 12 months following completion of TB treatment), or for adolescents history of active TB requiring treatment"	37
NCT01987492	Phase 2	Asthma	Hoffmann-La Roche	10-Feb-15	Asthma	For adults: Active tuberculosis requiring treatment within the 12 months prior to Visit 1	37
NCT01765192	Phase 2	Asthma	AstraZeneca	10-Feb-15	Asthma	"Has severe acute infectious diseases (eg, tuberculosis, or acute hepatitis)"	37
NCT01443728	Phase 2	Sickle Cell Disease;Vitamin D Deficiency;Acute Chest Syndrome;Asthma;Respiratory Infections	"Gary M Brittenham, MD"	10-Feb-15	"Respiratory Tract Infections;Acute Chest Syndrome;Anemia, Sickle Cell;Vitamin D Deficiency"	"History of hypercalcemia or diagnosis of any medical condition associated with hypercalcemia, including primary hyperparathyroidism, malignancy, sarcoidosis, tuberculosis, granulomatous disease, familial hypocalciuric hypercalcemia"	37
NCT00452400	Phase 2	"Pulmonary Disease, Chronic Obstructive;Asthma"	Boehringer Ingelheim	10-Feb-15	"Pulmonary Disease, Chronic Obstructive"	known active tuberculosis	37
NCT01743768	Phase 2	Asthma	Sterna Biologicals GmbH & Co. KG	10-Feb-15	Asthma	"known active tuberculosis,"	37
NCT02698501	Phase 2	Asthma	Celeste Porsbjerg	10-Feb-15	Asthma	Known history of active tuberculosis (TB)	37
NCT01955512	Phase 2	Asthma	University of Southampton	10-Feb-15	Asthma	"Past or present tuberculosis, systemic lupus erythematosis or multiple sclerosis"	37
NCT00467740	Phase 2	Asthma	Boehringer Ingelheim	10-Feb-15	Asthma	"Patients with any of the following conditions: a history of myocardial infarction within 1 year of screening visit (Visit 1), a diagnosis of clinically relevant cardiac arrhythmia, a history of cor pulmonale, known active tuberculosis, a malignancy for which patient has undergone resection, radiation therapy or chemotherapy within last five years (patients with treated basal cell carcinoma are allowed), a history of life-threatening pulmonary obstruction, a history of cystic fibrosis, clinically evident bronchiectasis, a history of significant alcohol or drug abuse"	37
NCT02407262	Phase 2	Asthma	"University College, London"	10-Feb-15	Asthma;Inflammation	"Patients with serious co-morbid conditions such as; cancer, renal, hepatic, cardio-vascular, gastrointestinal diseases, mental health conditions and respiratory disorder such as TB and COPD."	37
NCT02794519	Phase 2	Asthma	GlaxoSmithKline	10-Feb-15	Asthma	Positive for Mycobacterium tuberculosis using QuantiFERON Gold test at screening.	37
NCT04092582	Phase 2	Asthma	"Genentech, Inc."	10-Feb-15	Asthma	Positive for TB at screening 	37
